Titre,Lieu,Date,Description,Prix,Lien
A Louer à Carthage Salambo,"nizar.benzayed@remax.com.tn, Carthage, Tunis",18/02/25,"Description Nizar BENZAYED conseiller en immobilier chez RE/MAX Smile propose la location d’un charmant rez-de-jardin meublé à Carthage Salambo.  Il contient : - Un salon lumineux qui ouvre sur un jardin très bien entretenu ; - Trois chambres à coucher dont une suite parentale ; - Une cuisine équipée d'une plaque, hotte, four, Lave-linge et lave-vaisselle ; - Salle d'eau invités ;  Ce rez-de-jardin est équipé de la climatisation en split et du chauffage central.  Il se situe à proximité de la mer et des commodités et offre un cadre de vie chaleureux et convivial Location à l’année Loyer : 2500 DT /mois Commission RE/MAX : 01 Mois de loyer Pour s'informer veuillez me contacter",2 500 DT/ Mois,https://www.menzili.tn/annonce/a-louer-a-carthage-salambo-tunis-carthage-139792
À VENDRE APPARTEMENT S3 JARDINS DE CARTHAGE,"nizar.benzayed@remax.com.tn, Jardin De Carthage, Tunis",22/02/25,"Description À VENDRE APPARTEMENT S3 JARDINS DE CARTHAGE Prix : 900 000 DT RE/MAX Smile propose la vente d’un appartement S3 aux jardins de Carthage:  Un cadre de vie privilégié, alliant confort et proximité !  Emplacement stratégique : Écoles, supermarchés, commerces et restaurants à proximité Accès rapide aux principaux axes routiers  Caractéristiques : Rez-de-chaussée d’une résidence R4 depuis 2012 Superficie brute : 209 m² + Terrasse : 39 m² 2 places de parking + Cellier : 7 m² Deux appartements par palier Menuiserie extérieure en aluminium avec double vitrage et volets roulants motorisés Vidéophone Isolation thermique Climatisation centrale Chauffage central Faux plafond généralisé  Agencement moderne et fonctionnel : Salon spacieux et lumineux, ouvrant sur une terrasse aménageable Cuisine équipée avec séchoir attenant et terrasse de service Suite parentale avec dressing et salle de bain privative Deux chambres avec dressing & salle de bain commune Salle d’eau pour les invités  Contactez-nous pour s’informer !",900 000 DT,https://www.menzili.tn/annonce/A-vendre-appartement-s3-jardins-de-carthage-tunis-jardindecarthage-139936
A vendre une villa aux Jardins d'El Menzah 2 - Ariana,"Jardin d'El Menzah, Jardins D'el Menzah, Ariana",10/02/25,"Description Nizar BENZAYED conseiller en immobilier chez RE/MAX Smile propose à la vente une villa S+5 aux jardins d’El Menzah Ariana :   ✅ Orientation optimale ✅ Surface du terrain 583 m² ✅ Surface couverte 618 m² ✅ Villa avec deux entrées, ouvrant sur deux rues parallèles  ✅ Quartier résidentiel ✅ Construction 2011  Rez-de-jardin de 213 m² :  ✅ Un jardin & une piscine à débordement ✅ Un garage / buanderie & un parking ✅ Un escalier extérieur pour accéder au rez-de-chaussée ✅ Un hall d'accueil ✅ Une salle de séjour ✅ Une suite qui ouvre directement sur le jardin et la piscine avec un double dressing, un dressing room, une salle de bain avec douche & baignoire ✅ Une suite de service ✅ Une salle d'eau d'invités ✅ Une cuisine de équipée ✅ Un escalier intérieur menant au rez-de-chaussée  Au rez-de-chaussée de 221 m² : ✅ Un hall d'entrée depuis la deuxième rue ✅ Un salon qui ouvre sur le jardin du rez-de-chaussée avec un balcon qui ouvre sur le jardin & la piscine ✅ Une salle à manger ✅ Un coin séjour avec un balcon qui ouvre sur le jardin & la piscine ✅ Une salle d'eau d'invités ✅ Une cuisine principale avec un accès au parking aérien ✅ Un parking aérien pour deux voitures  Au 1er étage de 184 m² : ✅ Un hall de distribution ✅ Deux suites avec balcons et dont une avec double dressing ✅ Deux chambres à coucher avec balcons ✅ Salle de bain commune  ✅ Climatisation individuelle ✅ Chauffage central ✅ Dressings ✅ Vidéosurveillance ✅ Système d'alarme ✅ Revêtement sol du rez-de-chaussée en marbre Travertin ✅ Revêtement sol du rez-de-jardin en marbre Kadhel  Pour s'informer contacter nous: Tél/WhatsApp: +216 27 244 588",2 200 000 DT,https://www.menzili.tn/annonce/a-vendre-une-villa-aux-jardins-d-el-menzah-2-ariana-ariana-jardinsdelmenzah-139467
À VENDRE appartement à la SOUKRA,"La Soukra Ariana, La Soukra, Ariana",15/02/25,Description Nizar BENZAYED Conseiller en immobilier chez RE/MAX Smile propose la vente d’un appartement situé au premier étage d’une résidence R+2 avec ascenseur.  Superficie : 125 m² brut | 92 m² net Cet appartement profite d’une belle luminosité tout au long de la journée. Un salon avec accès à une terrasse agréable Deux chambres spacieuses avec dressings intégrés Cuisine équipée et un séchoir Salle de bain avec baignoire  Salle d’eau invités Chauffage central & climatisation en split système Une place de parking privée au sous-sol Titre individuel disponible  Année de construction : 2022 Trois appartements par palier  Prix : 422 000DT Commission RE/MAX Smile HTVA : 2% Contactez-nous pour plus d’infos Tél / WhatsApp: +216 27 244 588,422 000 DT,https://www.menzili.tn/annonce/A-vendre-appartement-a-la-soukra-ariana-lasoukra-139668
Terrain constructible à Hay Jalaa Bizerte,"située à Hay Jalaa Bizerte, Bizerte Nord, Bizerte",17/02/25,Description Mahjoub met à la vente un terrain constructible située à Hay Jalaa Bizerte   Superficie : 315 m²   Prix de vente  : 420dt/m² Négociable  Documents Fournis : Titres de propriété  Contacter-nous pour plus D’informations :+21697764800  Merci de nous contacter au WhatsApp (+216)97764800  visite payante 30 dinars,Non disponible,https://www.menzili.tn/annonce/terrain-constructible-a-hay-jalaa-bizerte-bizerte-bizertenord-139735
Terrain constructible à vendre à Borj Taleb Bizerte,"situé à Borj Taleb Bizerte, Bizerte Sud, Bizerte",05/01/25,Description Mahjoub met à la vente un terrain titré situé à Borj Taleb Bizerte d'une superficie totale de 635m². Terrain constructible Document :Titre individuel ????Prix de vente : 500dt /m² Contacter-nous pour plus D’informations :????+21697764800 Merci de nous contacter au WhatsApp (+216)97764800,500 DT,https://www.menzili.tn/annonce/terrain-constructible-a-vendre-a-borj-taleb-bizerte-bizerte-bizertesud-138255
Terrain agricole titré à Borj Taleb Bizerte,"à Borj Taleb Bizerte, Bizerte Sud, Bizerte",17/01/25,"Description Mahjoub met à la vente un terrain agricole située à Borj Taleb Bizerte sur la Route principale ,bon emplacement, bonne occasion, dans rue calme,  Ce terrain est planté par des arbres d'oliviers  Superficie :3721 m²   Documents Fournis : titre foncier collectif  Prix de vente : 120 mille dinars (TND) négociable  Contacter-nous pour plus D’informations :+21697764800  Merci de nous contacter au WhatsApp (+216)97764800",Non disponible,https://www.menzili.tn/annonce/terrain-agricole-titre-a-borj-taleb-bizerte-bizerte-bizertesud-138643
Terrain agricole titré ( route de Mateur),"à Sidi Othman ( route de Mateur), Bizerte Sud, Bizerte",17/01/25,"Description Mahjoub met à la vente un terrain agricole située à Sidi Othman ( route de Mateur) ,bon emplacement,   Ce terrain est planté par des arbres d'oliviers  Superficie :50000 m²   (05) hectares Prix de vente (01) hectare : 120 mille dinars (TND)  Documents Fournis : titre foncier individuel  Contacter-nous pour plus D’informations :+21697764800  Merci de nous contacter au WhatsApp (+216)97764800",Non disponible,https://www.menzili.tn/annonce/terrain-agricole-titre-route-de-mateur-bizerte-bizertesud-138645
Somptueuse villa à Menzah 1,"Menzah 1, Menzah, Ariana",01/01/25,"Description découvrez avec notre agence Darek immobilière cette somptueuse villa proposée à la location à Menzah 1, offrant un cadre idyllique pour une société ou firme international ou une demeure pour hauts cadres et représentants d'ambassades.  cette villa allie luxe et confort avec des espaces généreux et lumineux. dès l’entrée, profitez d’un espace de vie très spacieux et lumineux avec de larges baies vitrées qui s’ouvrent sur un grand jardin panoramique, ses caractéristiques : : grand séjour+ grand salon , un bureau ,une suite invité et une grande cuisine équipée . -A l'étage : 2 grandes suites + deux grandes chambres + salle de bain  -jardin : jardin soigneusement aménagé avec piscine parfait pour des moments de calme  atouts : loge gardien plus toilette privatives aussi un abri pour 4 voitrues  -climatisation  et chauffage centrale  -proximité des commerces et activités de loisirs  Prix : 8000 dt/mois  pour plus d'informations veuillez contacter notre agence au 51603900/99603906/51614130",8 000 DT/ Mois,https://www.menzili.tn/annonce/somptueuse-villa-a-menzah-1-ariana-menzah-138105
Coquette bureau 200 m² à Charguia 2,"charguia 2, La Soukra, Ariana",01/01/25,"Description L'agence Darek Immobilière propose à la location un open space plus 3 bureaux dans un immeuble bureautique récent et de bon standing à Charguia 2,  il présente les caractéristiques suivantes: 200 m² open +3 bureaux câblage réseau climatisation et chauffage faux plafonds double vitrage ascenseur places de parking  gardien Prix : 3500 dt/ht/mois pour plus d'information veuillez contacter le 51603900/99603906/51614130",3 500 DT/ Mois,https://www.menzili.tn/annonce/coquette-bureau-200-m-a-charguia-2-ariana-lasoukra-138104
Villa de Standing S+4 à Chott Meriem - Vue Mer et Piscine Privé,"Chatt meriem, Akouda, Sousse",15/02/25,"Description Emplacement exceptionnel ! Cette superbe villa de standing, située à Chott Meriem côté mer, est disponible en location annuelle meublée. Offrant un cadre de vie luxueux et spacieux, cette villa est idéale pour ceux qui cherchent à allier confort et élégance au bord de la mer.  Caractéristiques principales :  Emplacement : Chott Meriem, à deux pas de la plage Surface habitable : [Insérez la superficie] Terrain : [Insérez la superficie] Nombre de niveaux : 2 Piscine privée : 4x8 mètres Parking privé : Capacité de 3 voitures Disposition intérieure :  Rez-de-chaussée : Grand salon lumineux avec vue directe sur le jardin et la piscine Grande cuisine entièrement équipée, ouvrant sur la piscine Une chambre à coucher avec penderie Étage : Deux chambres à coucher spacieuses Une salle de bain moderne Suite parentale avec salle de bain privative Cette villa a été conçue pour offrir un confort de vie optimal, avec des espaces généreux et un agencement intelligent. Le jardin paysager et la piscine privée invitent à la détente. Vous serez séduit par l’environnement paisible et l’accès facile à la mer.  Conditions de location :  Location annuelle meublée Accès sécurisé et parking pour 3 voitures",5 500 DT/ Mois,https://www.menzili.tn/annonce/villa-de-standing-s-4-a-chott-meriem-vue-mer-et-piscine-prive-sousse-akouda-139635
Villa de LUXE à vendre - Sahloul 4,"Sahloul, Sahloul, Sousse",14/02/25,"Description À Vendre : Villa de Style Américain à Sahloul 4 – Élégance et Confort  WHATSAPP : +216 99 610 029  Découvrez cette somptueuse villa au style américain, idéalement située à Sahloul, offrant un cadre de vie exceptionnel alliant modernité et raffinement.  Bâtie sur un terrain de 500 m² avec une superficie couverte de 230 m², cette demeure unique propose des espaces généreux et lumineux, pensés pour un confort optimal.  Rez-de-chaussée : Un Espace de Vie Chaleureux et Fonctionnel  Jardin paysagé entourant la villa, apportant charme et sérénité.  Vaste salon lumineux et séjour spacieux, parfaits pour les réceptions et les moments en famille.  Une chambre à coucher, pouvant servir de bureau ou de chambre d’amis.  Cuisine moderne et entièrement équipée, alliant praticité et esthétisme.  Salle d’eau élégante, offrant un confort supplémentaire.   1er Étage : Un Espace Nuit Raffiné  Grand hall aménagé avec une commode de luxe.  Quatre chambres à coucher spacieuses, offrant tout le confort nécessaire.  Salle de bain moderne, conçue pour le bien-être et la détente.   Sous-sol : Un Atout Majeur  Parking privé pouvant accueillir jusqu’à 4 voitures.  Petit studio indépendant, idéal pour un gardien, une aide domestique ou une chambre d’amis.   Équipements et Prestations :  ✔ Chauffage central & climatisation pour un confort toute l’année. ✔ Dressing intégré dans les chambres pour un rangement optimal. ✔ Terrasse spacieuse, parfaite pour des moments de détente en extérieur.  ✨ Une opportunité rare à ne pas manquer !  WHATSAPP : +216 99 610 029",1 100 000 DT,https://www.menzili.tn/annonce/villa-de-luxe-a-vendre-sahloul-4-sousse-sahloul-139629
4605m à chotrana 1 la soukra ariana,"chotrana 1,sidi salah,  rue de tanneur la soukra, Chotrana, Ariana",08/01/25,"Description à vendre : terrain 4605 m² à sidi salah, chotrana 1, la soukra, ariana rue de tanneur  terrain nu avec titre foncier individuel, parfait pour habitation ou activité .  •	statut juridique : titre bleu •	vocation : r+2. •	dimensions disponibles : voir plan.        prix : 380dt/m²   merci    contactez-moi directement pour les détails ou pour une visite : whatsapp 95 788 696.",380 DT,https://www.menzili.tn/annonce/4605m-a-chotrana-1-la-soukra-ariana-ariana-chotrana-138367
A louer s1 meublé à Megrine riadh,"Mégrine, Ben Arous",12/02/25,Description A louer appartement (Studio )meublé S1 a #Megrine riadh au  rdc proche de tout les commodités et institut supérieur de la magistrature de la zone industrielle. Convient pour jeune cadres mariés ou deux filles cadres ou étudiantes. Composé d’un salon climatisé kitchenette bien équipé  et à l’étage une chambre parentale avec deux lits et dressing. Une salle de bain avec douche a l’italienne. Climatiseur Prix  700 dinars longue durée  Contact  20 813 000 / 26 526 520 WhatsApp 20 813 000 #casaimmoagence #MEDINAJADIDA #meublé #ezzahra #BenArous #nouvellemédina #appartement #Boumhal,700 DT,https://www.menzili.tn/annonce/a-louer-s1-meuble-a-megrine-riadh-benarous-megrine-139527
A VENDRE COQUET APPARTEMENT S2 A NOUVELLE MÉDINA,"Medina Jedida, Ben Arous",12/02/25,Description A VENDRE coquet appartement S2  haut standing à medina jadida 3  dans une résidence sécurisée et gardée et surveillée avec ascenseur.  Situé au 2ème étage  composé d’un spacieux salon avec balcon deux spacieuses chambres à coucher  une avec  dressing et une avec avec balcon dressing au hall  une cuisine agencée et équipée avec séchoir et  une salle de bain  ✅️ Chauffage central  ✅️ 2 climatiseurs ✅ Place parking sécurisée   Surface 121 m2  CONTACT  20 813 000 /26 526 520 / 27 813 002  WhatsApp 20 813 000,220 000 DT,https://www.menzili.tn/annonce/a-vendre-coquet-appartement-s2-a-nouvelle-mEdina-benarous-medinajedida-139558
"Appartement meublé à louer à Sidi Daoud, La Marsa","La Marsa, Sidi Daoud, Tunis",12/01/25,"Description Nizar BENZAYED Conseiller en immobilier chez RE/MAX Smile propose la location d’un appartement S+1 meublé, situé au 1er étage d'une résidence haut standing R+3, calme et sécurisée, à Sidi Daoud, La Marsa.  Salon un espace lumineux et moderne, soigneusement aménagé. Cuisine équipée fonctionnelle et moderne, avec un séchoir attenant. Une chambre spacieuse et confortable, dotée d'un dressing intégré. Salle de douche moderne et bien entretenue. L'appartement bénéficie d'un emplacement idéal, à proximité des commerces, services.  Loyer : 1800 DT/mois Pour plus d’information contacter-moi !",1 800 DT,https://www.menzili.tn/annonce/appartement-meuble-a-louer-a-sidi-daoud-la-marsa-tunis-sididaoud-138492
Terrain proche de la mer à Hammel Jebli,"Hammam Jebli, Hammam Ghezèze, Nabeul",23/01/25,Description Surface totale 1547 m2 48 M de façade sur une route goudronnée 200 dinars le mètre Possibilité d'acheter la moitié (750m) ou le tiers (500m),300 000 DT,https://www.menzili.tn/annonce/terrain-proche-de-la-mer-a-hammel-jebli-nabeul-hammamghezeze-138872
Villa S3 a Carthage avec jardin et piscine,"Carthage, Tunis",05/02/25,Description LE RIVAGE IMMOBILIER vous propose à la location une villa S3 avec piscine situé dans un quartier résidentiel à Carthage. La bâtisse se compose comme suit  Au rez-de-chaussée  un salon donnant sur la piscine un séjour une cuisine aménagée et équipée attenante à une terrasse et une salle d’eau invités. Au premier étage  une suite deux chambres à coucher et une salle de bain. Au deuxième étage  un espace de vie donnant sur une grande terrasse. A l’’extérieur  une piscine un jardin et un garage. La villa est équipée du chauffage central et climatiseurs. La partie nuit  une suite parentale avec son dressing et sa salle d’eau avec douche à l’italienne et deux chambres à coucher avec dressing qui partagent une salle de bain commune.,14 000 DT,https://www.menzili.tn/annonce/villa-s3-a-carthage-avec-jardin-et-piscine-tunis-carthage-139318
"Villa Avec Deux étages Séparer Située à Menzel Bourguiba,Bizerte","Située à Menzel Bourguiba,Bizerte, Menzel Bourguiba, Bizerte",02/02/25,"Description Mahjoub met en vente Une Villa Avec Deux étages Séparer Située à Menzel Bourguiba,Bizerte  Magnifique Villa construite sur deux étages sur un terrain total de 448m2 emplacement idéal dans une zone calme avec un bon entourage La Villa est construite sur un grand terrain avec un très beau jardin  100m2 bien entretenu tout au long de l'année. La Villa est située dans un quarter calme sur les hauteurs de la ville de Bizerte La Villa est composée de  1er étage : 3chambres à coucher avec salle de bain cuisine   Rdc : 2 Salons dont une avec cheminée en marbre Salon 3 chambres Cusine salle d'eau Jardin abri de voiture Salle à manger ouverte sur une cuisine à l’américaine avec Îlot centrale Salle d eau Véranda attenante à la cuisine Suite parentale avec un dressing intégré et une salle de bain Hall et 2 terrasses Avantages : -Quartier très calme et sécurisé possède tous les nécessités. Situation juridique : Titre Foncier colectif Visite payante sur rendez-vous - Prix : 600mdt légèrement négociable Contacter-nous pour plus D’informations :????+21697764800  Merci de nous contacter au WhatsApp (+216)97764800",Non disponible,https://www.menzili.tn/annonce/villa-avec-deux-etages-separer-situee-a-menzel-bourguiba-bizerte-bizerte-menzelbourguiba-139217
Terrain agricole titré (200) hectares,"située à Bizerte Sud, Bizerte Sud, Bizerte",26/01/25,"Description Mahjoub met à la vente un terrain agricole située à Bizerte Sud ,bon emplacement,   Superficie :2000000 m²   (200) hectares  Prix de vente (01) hectare : 25 mille dinars (TND)  Documents Fournis : titre foncier collectif   Contacter-nous pour plus D’informations :+21697764800  Merci de nous contacter au WhatsApp (+216)97764800",Non disponible,https://www.menzili.tn/annonce/terrain-agricole-titre-200-hectares-bizerte-bizertesud-138998
Villa avec piscine vendu meublé,"tazdayne, Djerba - Midoun, Médenine",26/02/25,"Description Agence satouri immobilière vous propose à la vente une belle villa avec piscine dans un secteur résidentiel, au calme à 4 minutes de la plage et 5 minutes de centre Midoun en voiture la villa développe une surface habitable de 220 m². Elle dispose d'espace de vie baigné de lumière, espace dinatoire, cuisine moderne, ainsi que 3 suites( chambre avec salle de bain et dressing) * La propriété a été décorée avec raffinement: mobilier sur mesure, matières nobles, dernières prestations très haut de gamme, objets et luminaires de designers. * Climatisation dans toutes les pièces  * Côté extérieur : jardin joliment arboré, un coin barbecue  avec l'équipement nécessaire, une douche, une piscine 8/4m sans vis-à-vis",580 000 DT,https://www.menzili.tn/annonce/villa-avec-piscine-vendu-meuble-medenine-djerbamidoun-140075
Un s+1 Meublé à Louer,"La Soukra, Ariana",18/02/25,"Description *L’agence Immobilière CENTURY 21 PRESTIGE vous propose à la location un S+1 meublé jamais habité d'une superficie de 84m².  Emplacement : Jardin de Carthage  -Type : Appartement  -Typologie :  S+1 -Composition :  -Un salon avec balcon  -Une chambre à coucher avec dressing  -Une Cuisine équipée  -Une salle de bain  -Climatisation en split et chauffage central  -Place de parking au sous-sol  *Pour plus d’informations ou pour organiser une visite, contactez nous au Tél / WhatsApp : +216 20 092 000 Email : prestige@century21.tn",2 350 DT,https://www.menzili.tn/annonce/un-s-1-meuble-a-louer-ariana-lasoukra-139759
Villa Ibtissam,"TUNISIA, DJERBA TEZDAINE, Djerba - Midoun, Médenine",24/02/25,"Description Villa Ibtissam vous offre le confort moderne avec un emplacement stratégique et un accés facile à toutes  les attractions locales. En famille, en couple ou entre amis , nous avons l'hébergement parfait  pour répondre à vos besoins. Villa Ibtissam se compose de:  3 chambres |3 Salles de bain  ‍ Piscine privée  Seulement 10 minutes de la plage ‍ Idéale pour 6 personnes Équipements Serviettes Draps de lit Cuisine WiFi Parking",300 DT/ Nuit,https://www.menzili.tn/annonce/villa-ibtissam-medenine-djerbamidoun-139986
Villa zakaria,"temlel Djerba Midoun, Djerba - Midoun, Médenine",24/02/25,"Description Villa Yahya vous offre le confort moderne avec un emplacement stratégique et un accés facile à toutes  les attractions locales. En famille, en couple ou entre amis , nous avons l'hébergement parfait  pour répondre à vos besoins. Villa Yahya se compose de: ????️ 3 chambres |3 Salles de bain  ????‍ Piscine privée ????️ Seulement 10 minutes de la plage ????‍????‍???? Idéale pour 6 personnes Équipements Serviettes Draps de lit Cuisine WiFi Parking",300 DT/ Nuit,https://www.menzili.tn/annonce/villa-zakaria-medenine-djerbamidoun-139984
